@id;addr:street;addr:housenumber;amenity;addr:city;addr:postcode;@lat;@lon
702490149;Malūno g.;4;;Šiauliai;78171;55.9223319;23.2775043
702846044;S. Konarskio g.;21;;Vilnius;;54.6801957;25.2589504
703507046;Šventaragio g.;2;;Vilnius;;54.6846752;25.2886371
708616027;Žemaičių pl.;23;;Kaunas;;54.9282032;23.8877018
715582682;Savanorių pr.;6;;Kaunas;;54.9080854;23.9289835
718674352;Žaliūkių g.;85;;Šiauliai;78171;55.9215881;23.2692977
718674353;Žaliūkių g.;83H;;Šiauliai;78171;55.9216136;23.2702071
718674354;Žaliūkių g.;83F;;Šiauliai;78171;55.9217704;23.2707631
718674355;Žaliūkių g.;83G;;Šiauliai;78171;55.9215946;23.2715178
718674357;Žaliūkių g.;83D;;Šiauliai;78171;55.9221188;23.2705765
718674358;Žaliūkių g.;83C;;Šiauliai;78171;55.9223088;23.2714711
718674359;Žaliūkių g.;83A;;Šiauliai;78171;55.9223457;23.2718307
718674362;Žaliūkių g.;83;;Šiauliai;78171;55.9223670;23.2721610
718674363;Lauko g.;23;;Šiauliai;77191;55.9224006;23.2725293
718674364;Lauko g.;15;;Šiauliai;77191;55.9219252;23.2726102
718674365;Lauko g.;17;;Šiauliai;77191;55.9221156;23.2725950
718674366;Žaliūkių g.;90;;Šiauliai;78171;55.9227386;23.2730483
718674368;Žaliūkių g.;86;;Šiauliai;78171;55.9227669;23.2737907
718674369;Žaliūkių g.;81;;Šiauliai;78171;55.9225898;23.2740154
718674371;Žaliūkių g.;81A;;Šiauliai;78171;55.9224871;23.2738246
718674372;Žaliūkių g.;84;;Šiauliai;78171;55.9227840;23.2743489
718674377;Žaliūkių g.;82;;Šiauliai;78171;55.9228673;23.2754411
718674378;Žaliūkių g.;80;;Šiauliai;78171;55.9228839;23.2759013
718674380;Žaliūkių g.;77B;;Šiauliai;78171;55.9222221;23.2764308
718674382;Žaliūkių g.;79B;;Šiauliai;78171;55.9225955;23.2758971
718674383;Žaliūkių g.;79;;Šiauliai;78171;55.9225908;23.2763384
718674384;Žaliūkių g.;77A;;Šiauliai;78171;55.9225312;23.2768777
718674388;Žaliūkių g.;77;;Šiauliai;78171;55.9225902;23.2774144
724279485;Kauno g.;1A;;Vilnius;;54.6727315;25.2792414
724284725;Pylimo g.;53;;Vilnius;;54.6739861;25.2850515
724292685;Pylimo g.;60;;Vilnius;;54.6724256;25.2869138
728971708;Architektų g.;2;;Šiauliai;78337;55.9159633;23.2487548
738778914;Naugarduko g.;76;;Vilnius;;54.6706270;25.2606746
738802632;Švitrigailos g.;32;;Vilnius;;54.6732828;25.2693735
746328997;K. Baršausko g.;66A;;Kaunas;;54.9001996;23.9677498
746859056;Kviečių g.;2;;Vilnius;;54.7420899;25.2748874
746872060;Jeruzalės g.;27;library;Vilnius;;54.7456013;25.2795130
750600980;Gegužių g.;58;;Šiauliai;;55.9100056;23.2541961
758635879;Antakalnio g.;36;;Vilnius;10305;54.7013166;25.3090469
758635884;Antakalnio g.;38;;Vilnius;10305;54.7016100;25.3091204
762147298;Kalnų g.;96;;Kaunas;47143;54.9125060;23.8593216
762710732;Karaliaučiaus g.;40;;Šiauliai;78374;55.8987221;23.2429765
762710752;Karaliaučiaus g.;8;;Šiauliai;78374;55.9014119;23.2489692
762710757;Karaliaučiaus g.;26;;Šiauliai;78374;55.8999141;23.2456323
762710763;Karaliaučiaus g.;34;;Šiauliai;78374;55.8992180;23.2440814
762710777;Karaliaučiaus g.;20;;Šiauliai;78374;55.9004022;23.2467197
762710781;Karaliaučiaus g.;36;;Šiauliai;78374;55.8989547;23.2434947
762710785;Karaliaučiaus g.;12;;Šiauliai;78374;55.9010897;23.2482514
762710792;Karaliaučiaus g.;32;;Šiauliai;78374;55.8993753;23.2444317
762710799;Karaliaučiaus g.;30A;;Šiauliai;78374;55.9005644;23.2432826
762710814;Karaliaučiaus g.;22;;Šiauliai;78374;55.9001968;23.2462621
762710820;Karaliaučiaus g.;38;;Šiauliai;78374;55.8988538;23.2432699
762710842;Karaliaučiaus g.;18;;Šiauliai;78374;55.9005734;23.2471011
762710847;Karaliaučiaus g.;28;;Šiauliai;78374;55.8997712;23.2453138
762710857;Karaliaučiaus g.;30B;;Šiauliai;78374;55.9007829;23.2426418
762710863;Karaliaučiaus g.;30;;Šiauliai;78374;55.8996125;23.2449603
769301249;Gegužių g.;8B;;Šiauliai;78347;55.9000076;23.2664391
769301263;Nadruvos g.;3;;Šiauliai;78347;55.8996741;23.2684191
769301265;Nadruvos g.;5;;Šiauliai;78347;55.8998689;23.2681214
769301273;Nadruvos g.;1;;Šiauliai;78347;55.8995343;23.2686689
769301276;Nadruvos g.;15;;Šiauliai;78347;55.9007164;23.2671962
769301286;Gegužių g.;13;;Šiauliai;78347;55.9003945;23.2672125
769301315;Gegužių g.;8;;Šiauliai;78347;55.9036956;23.2634760
769301325;Gegužių g.;2;;Šiauliai;78347;55.8993551;23.2699287
769301332;Nadruvos g.;20;;Šiauliai;78347;55.8994326;23.2682185
769301341;Nadruvos g.;22;;Šiauliai;78347;55.8996044;23.2676628
772628779;Kauno g.;17;;Šiauliai;78104;55.9238051;23.3096413
772628797;Kauno g.;12B;;Šiauliai;78103;55.9239759;23.3078499
